gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn,cluster,churn_proba,stay_proba,historical_CLV,expected_future_months,expected_future_revenue,expected_CLV,months_into_current,cluster_v2
1,1,1,1,0,6,1,29,14.227470422861144,5.0,3,0.0203979476208577,0.0,0,3,0.024743939,0.9752561,3814.227470422861,4.876280426979065,5363.908469676971,9178.135940099834,1.0,2
0,1,0,0,1,12,1,31,113.2029376510582,12.0,7,1.9229360550418195,1.9102435215196407,0,1,0.00017903275,0.99982095,8313.202937651058,11.997851371765137,13197.63650894165,21510.83944659271,0.0,0
0,1,1,0,1,1,0,28,129.44847933200614,1.0,2,1.8590983473832376,1.7365018916344137,0,0,0.5222683,0.4777317,2829.448479332006,0.47773170471191406,525.5048751831055,3354.9533545151116,0.0,3
0,1,1,1,1,12,1,33,62.66986319123829,12.0,2,3.2056327682385,3.3572145130526616,0,1,4.184684e-05,0.99995816,2762.669863191238,11.999497890472412,13199.447679519653,15962.117542710892,0.0,1
1,1,1,1,1,1,0,26,198.36226543903683,1.0,3,1.1138844004257795,1.120078107422207,0,0,0.024598027,0.975402,3998.362265439037,0.9754019975662231,1072.9421973228455,5071.304462761882,0.0,3
1,1,0,0,1,1,1,34,450.7439599104914,1.0,3,2.6234768072839807,2.6370069647681804,0,2,0.00087514194,0.9991249,4250.743959910491,0.9991248846054077,1099.0373730659485,5349.781332976439,0.0,0
1,1,1,1,0,6,1,32,94.2663885148517,6.0,2,1.138941228411322,1.2772416305372298,0,3,0.0015620594,0.99843794,2794.2663885148518,5.990627646446228,6589.690411090851,9383.956799605703,0.0,2
0,1,0,0,1,1,0,30,217.78664105008903,1.0,0,1.2135019626583017,1.0493871451868677,1,0,0.80598176,0.19401824,717.786641050089,0.19401824474334717,213.42006921768188,931.2067102677709,0.0,3
1,1,1,1,1,1,1,23,45.40990920299768,1.0,1,1.106238932529013,1.059332976736446,0,0,0.34328753,0.6567125,1645.4099092029976,0.6567124724388123,722.3837196826935,2367.793628885691,0.0,3
0,1,0,0,1,1,0,31,65.31083634086433,1.0,11,1.81085190458252,1.9513676552017305,0,2,0.0015675118,0.9984325,12665.310836340865,0.9984325170516968,1098.2757687568665,13763.586605097731,0.0,0
0,1,0,0,0,6,1,32,229.70894524511127,6.0,3,1.6411796616862384,1.36771396663351,0,3,0.008768095,0.9912319,4029.7089452451114,5.947391510009766,6542.130661010742,10571.839606255853,0.0,2
1,1,1,0,1,1,0,27,266.7838237446521,1.0,2,2.3485353357599856,1.5843158272716689,1,0,0.98395985,0.016040146,2966.783823744652,0.016040146350860596,17.644160985946655,2984.427984730599,0.0,3
0,1,1,1,1,1,1,33,148.41805281528684,1.0,4,3.3686057499800075,3.3918531715752978,0,2,0.00043431425,0.99956566,5048.4180528152865,0.9995656609535217,1099.522227048874,6147.94027986416,0.0,1
1,1,0,0,1,1,1,27,152.74866849929762,1.0,1,0.0,0.0,1,0,0.722924,0.277076,1752.7486684992975,0.27707600593566895,304.78360652923584,2057.532275028533,0.0,3
0,1,0,0,1,6,0,35,209.8881331905138,3.0,8,1.978083818026388,2.117349155762039,0,2,0.00045441103,0.9995456,9509.888133190514,2.9986367225646973,3298.500394821167,12808.388528011681,3.0,0
0,1,1,1,1,12,0,29,101.37260415417305,10.0,4,2.850402196472184,2.836455259119332,0,1,0.00022827889,0.9997717,5001.372604154173,9.997717142105103,10997.488856315613,15998.861460469787,2.0,1
0,1,1,1,1,1,1,31,11.975295259522357,1.0,0,3.3422611433294565,3.2062232230844008,0,2,0.022538869,0.97746116,511.97529525952234,0.9774611592292786,1075.2072751522064,1587.1825704117286,0.0,1
0,1,0,1,1,6,1,29,92.78741424476028,5.0,1,0.6644824749922384,0.6099452944797018,0,0,0.06434182,0.93565816,1692.7874142447604,4.678290784358978,5146.119862794876,6838.907277039636,1.0,3
0,1,0,0,1,1,1,30,97.80431525583174,1.0,8,1.50707557553785,1.5787380483152962,0,2,0.0018237899,0.9981762,9397.804315255831,0.9981762170791626,1097.9938387870789,10495.79815404291,0.0,3
1,1,1,1,1,12,1,29,73.91754594762952,11.0,14,1.1413270096198054,1.1584545301683429,0,1,0.00037529276,0.9996247,15973.91754594763,10.995872020721436,12095.45922279358,28069.37676874121,1.0,1
1,1,0,0,1,6,1,29,338.5968593027536,6.0,1,3.5635989884526174,3.479553072853101,0,2,0.00033863803,0.9996614,1938.5968593027537,5.997968316078186,6597.765147686005,8536.362006988758,0.0,0
0,0,0,0,1,1,0,30,153.19859377822274,1.0,3,0.6363818009615023,0.0,1,0,0.9622496,0.037750423,3953.198593778223,0.037750422954559326,41.52546525001526,3994.724059028238,0.0,3
1,1,0,0,1,12,1,29,100.15813043665086,12.0,1,3.899715123776592,3.709854878880804,0,1,0.0028617394,0.99713826,1700.158130436651,11.965659141540527,13162.22505569458,14862.383186131232,0.0,0
1,1,0,0,1,1,1,32,276.0798821905471,1.0,1,1.4206371562255409,1.0431012098788572,1,0,0.7730602,0.2269398,1876.079882190547,0.22693979740142822,249.63377714157104,2125.7136593321184,0.0,3
0,1,0,1,0,6,0,27,179.55545728024344,6.0,6,3.393160619358797,3.2825153464860963,0,3,0.00021017005,0.99978983,7279.555457280243,5.998739004135132,6598.612904548645,13878.168361828888,0.0,2
0,0,0,0,1,1,0,29,57.73000650327499,1.0,0,1.491187497274369,1.2468065037921203,1,0,0.98510265,0.0148973465,557.730006503275,0.014897346496582031,16.387081146240234,574.1170876495153,0.0,3
0,1,1,0,1,6,0,29,167.87521108842424,6.0,5,3.311349561669348,3.2434118858397034,0,2,0.00022519701,0.9997748,6167.875211088424,5.9986488819122314,6598.513770103455,12766.388981191878,0.0,0
1,1,0,1,1,6,0,27,31.805389694141468,6.0,3,0.8242833135958354,0.7957610492318434,0,0,0.15825695,0.84174305,3831.8053896941415,5.050458312034607,5555.504143238068,9387.30953293221,0.0,3
0,1,0,0,1,1,0,28,242.36650054262452,1.0,15,1.4594094470402328,1.3203716289772194,0,2,0.0032546162,0.9967454,17242.366500542623,0.9967454075813293,1096.4199483394623,18338.786448882085,0.0,0
0,1,1,1,1,6,1,27,159.1489236862274,5.0,3,3.5115681790970164,3.528885687703054,0,2,0.00047871735,0.99952126,3959.1489236862276,4.99760627746582,5497.366905212402,9456.51582889863,1.0,1
0,1,1,0,1,1,1,32,44.67250817468889,1.0,1,1.7716919792557118,1.6878719123797667,0,0,0.09880698,0.901193,1644.6725081746888,0.9011930227279663,991.3123250007629,2635.984833175452,0.0,3
0,1,0,0,1,12,1,32,87.85613947441288,12.0,1,0.0,0.0,0,1,0.023022432,0.9769776,1687.8561394744129,11.72373104095459,12896.104145050049,14583.960284524463,0.0,3
0,1,0,0,1,12,0,32,131.114586424149,12.0,3,2.374935353569161,2.2650888942452982,0,1,0.00086410705,0.9991359,3931.114586424149,11.989630937576294,13188.594031333923,17119.70861775807,0.0,0
0,1,1,1,1,12,0,29,208.9807514639272,12.0,12,3.0835027485045474,3.137978891402041,0,1,6.383681e-05,0.99993616,13908.980751463927,11.999233961105347,13199.157357215881,27108.138108679806,0.0,1
0,1,0,0,1,6,0,26,243.51068017558129,5.0,4,1.6950063019979729,1.6781187218678733,0,0,0.006593784,0.99340624,5143.510680175581,4.967031180858612,5463.734298944473,10607.244979120054,1.0,3
0,1,0,0,1,12,1,33,188.59086256820493,12.0,11,0.5611384840428737,0.5659106205423078,0,1,6.649035e-05,0.9999335,12788.590862568204,11.999201774597168,13199.121952056885,25987.71281462509,0.0,3
0,1,0,0,0,1,0,34,65.74274262265584,1.0,1,1.0699892680002354,1.0519945422537709,0,3,0.1659567,0.83404326,1665.742742622656,0.8340432643890381,917.4475908279419,2583.190333450598,0.0,2
1,1,0,0,1,1,1,32,14.25472125783996,1.0,21,3.3723138038385403,3.3157149345500736,0,2,0.00026605214,0.9997339,23614.25472125784,0.9997339248657227,1099.707317352295,24713.962038610134,0.0,0
1,1,1,1,1,12,1,25,179.03883962297508,12.0,12,1.7949385766908976,1.716777789644885,0,1,0.00014222502,0.9998578,13879.038839622976,11.998293399810791,13198.12273979187,27077.161579414846,0.0,1
1,1,0,1,0,6,1,35,233.2395478031676,6.0,0,1.270751504397165,1.2065910354788194,0,3,0.03189298,0.96810704,733.2395478031676,5.808642268180847,6389.506494998932,7122.7460428020995,0.0,2
0,1,1,1,1,12,0,33,5.135184497156928,12.0,5,2.9452379650144063,3.008917866863644,0,1,0.00014152643,0.9998585,6005.135184497157,11.998301982879639,13198.132181167603,19203.26736566476,0.0,1
0,1,1,1,0,1,0,25,161.60734904259368,1.0,1,0.8789498475034133,0.0092440811667241,1,3,0.99791974,0.0020802617,1761.6073490425938,0.002080261707305908,2.288287878036499,1763.8956369206303,0.0,2
0,1,0,0,1,12,0,36,108.90944277802252,12.0,1,2.046309893657255,2.0797042598139592,0,1,0.004221337,0.9957787,1708.9094427780226,11.949344158172607,13144.278573989868,14853.18801676789,0.0,0
0,1,1,1,0,1,1,30,261.7131880951677,1.0,4,3.863329318623784,3.8082617008204727,0,3,0.0010274217,0.9989726,5161.713188095167,0.9989725947380066,1098.8698542118073,6260.583042306975,0.0,2
1,1,1,0,1,12,0,29,332.4890410547644,9.0,4,3.0714307544217,3.112817956184608,0,1,0.00045696952,0.999543,5232.489041054764,8.995887100696564,9895.47581076622,15127.964851820983,3.0,1
1,1,1,0,1,6,0,29,139.34952378010922,6.0,8,1.391037096478528,1.3544371854288566,0,1,0.0016507423,0.99834925,9439.349523780109,5.990095496177673,6589.105045795441,16028.45456957555,0.0,3
1,1,0,0,1,1,0,26,54.18423621080765,1.0,0,0.8540792567085165,0.0,1,0,0.99983084,0.00016915798,554.1842362108076,0.0001691579818725586,0.18607378005981445,554.3703099908674,0.0,3
1,1,1,1,1,6,0,33,115.0991177252774,6.0,3,3.373237583328313,3.3783911776787003,0,2,0.0003079905,0.999692,3915.099117725277,5.998152136802673,6597.967350482941,10513.066468208217,0.0,1
1,1,0,1,1,1,1,25,152.95423818790002,1.0,12,2.915044970361457,2.8685849547070923,0,2,0.0016740302,0.99832594,13852.9542381879,0.9983259439468384,1098.1585383415222,14951.112776529422,0.0,0
0,1,0,0,1,6,0,27,272.99718088898123,6.0,12,2.288928344890015,2.2043292947378545,0,2,0.0007533514,0.99924666,13972.99718088898,5.995479941368103,6595.027935504913,20568.025116393896,0.0,0
1,1,0,0,1,1,0,33,204.2615056608934,1.0,6,1.8025185415587104,1.7216235470768095,0,2,0.0044938913,0.9955061,7304.261505660894,0.9955061078071594,1095.0567185878754,8399.31822424877,0.0,0
1,0,1,0,1,1,0,29,373.066503119564,1.0,0,1.6858228409402505,1.6617420771398794,0,0,0.0735163,0.9264837,873.066503119564,0.926483690738678,1019.1320598125458,1892.1985629321098,0.0,3
1,1,0,1,1,1,1,30,252.9156830285072,1.0,1,1.491547003063834,1.0592608497344491,1,0,0.76770365,0.23229635,1852.9156830285071,0.23229634761810303,255.52598237991333,2108.4416654084207,0.0,3
0,1,0,0,1,6,1,24,1.754737156770652,4.0,6,3.0056564705977453,2.9871328008335536,0,2,0.0049080364,0.995092,7101.754737156771,3.98036789894104,4378.404688835144,11480.159425991915,2.0,0
0,1,0,0,1,12,1,23,34.972072319098174,11.0,3,0.0294275662078662,0.2131890921930141,0,0,0.006412623,0.9935874,3834.972072319098,10.929461121559143,12022.407233715057,15857.379306034156,1.0,3
0,1,1,1,0,1,0,30,194.6691783286323,1.0,4,1.8930153973176576,1.9009430377531884,0,3,0.006786492,0.99321353,5094.669178328632,0.9932135343551636,1092.53488779068,6187.204066119312,0.0,2
1,1,0,0,1,6,1,30,134.4978468662896,6.0,2,1.6869872332841584,1.7088797675468983,0,2,0.00787433,0.9921257,2834.4978468662894,5.9527541399002075,6548.029553890228,9382.527400756517,0.0,3
0,1,0,0,1,6,1,27,236.9158278764984,6.0,0,0.9964930166420368,0.0,1,0,0.99450785,0.005492151,736.9158278764984,0.03295290470123291,36.2481951713562,773.1640230478546,0.0,3
1,1,1,1,1,6,0,28,115.77487796084124,6.0,2,0.6335916085168876,0.7550997925776941,0,0,0.025798012,0.974202,2815.7748779608414,5.845211863517761,6429.733049869537,9245.507927830378,0.0,1
1,1,1,1,1,1,0,34,166.862754236209,1.0,10,0.0,0.0,0,0,0.008423724,0.99157625,11666.862754236208,0.9915762543678284,1090.7338798046112,12757.59663404082,0.0,1
0,1,1,0,1,1,1,28,262.30956844586706,1.0,2,1.0266105076125682,0.9604870154524944,1,0,0.54914856,0.45085144,2962.309568445867,0.4508514404296875,495.93658447265625,3458.2461529185234,0.0,3
0,1,1,0,1,6,0,32,55.77441782254436,5.0,6,0.8135614904122801,0.8746773672175823,0,0,0.0059993006,0.9940007,7155.774417822544,4.970003366470337,5467.003703117371,12622.778120939915,1.0,3
0,1,1,1,0,6,0,34,72.64111198794714,6.0,2,0.0,0.0,0,3,0.044057705,0.9559423,2772.641111987947,5.735653638839722,6309.219002723694,9081.86011471164,0.0,2
1,1,0,0,1,1,0,28,42.16080904270572,1.0,1,0.4250114097298257,0.6052465413331591,1,0,0.8171856,0.18281442,1642.1608090427058,0.18281441926956177,201.09586119651794,1843.2566702392237,0.0,3
0,1,1,0,1,6,0,30,95.37852877345216,6.0,2,2.9173741573753875,2.968503817781418,0,2,0.0073991856,0.9926008,2795.378528773452,5.955604791641235,6551.165270805359,9346.54379957881,0.0,0
1,1,1,1,1,1,1,31,163.9731019398782,1.0,6,1.4245181139541172,1.0359563100429756,0,0,0.04087604,0.95912397,7263.973101939878,0.959123969078064,1055.0363659858704,8319.009467925749,0.0,1
0,1,0,0,1,1,0,28,35.110895275635045,1.0,1,1.704473441832295,0.8869797239670347,1,0,0.9957872,0.0042127967,1635.1108952756351,0.004212796688079834,4.634076356887817,1639.744971632523,0.0,3
1,1,0,0,1,1,1,30,414.5433842898426,1.0,3,2.8483272840904283,2.8631626362637617,0,2,0.000750457,0.9992495,4214.543384289843,0.9992495179176331,1099.1744697093964,5313.717853999239,0.0,0
0,1,0,0,1,1,0,27,152.06524646464462,1.0,1,1.0757009693441617,1.5809020013086426,1,0,0.7650737,0.23492628,1752.0652464646446,0.2349262833595276,258.41891169548035,2010.484158160125,0.0,3
1,1,0,0,1,6,0,27,122.33561541666757,6.0,7,2.399736098485752,2.3397980647546905,0,2,0.0008425098,0.9991575,8322.335615416667,5.994944930076599,6594.439423084259,14916.775038500926,0.0,0
1,1,1,0,0,1,0,27,228.0719505992239,1.0,0,1.7193771214690177,1.340513652956493,1,3,0.99029875,0.009701252,728.0719505992239,0.009701251983642578,10.671377182006836,738.7433277812307,0.0,2
0,1,1,1,1,12,0,26,174.97805438258493,11.0,0,1.0616442534670267,1.0272294821392989,0,1,0.048724763,0.9512752,674.9780543825849,10.464027523994446,11510.43027639389,12185.408330776476,1.0,1
1,1,1,1,1,6,0,29,134.56411185989518,5.0,0,1.7258345652501248,0.8948147737986513,1,1,0.98965573,0.010344267,634.5641118598952,0.05172133445739746,56.89346790313721,691.4575797630324,1.0,1
0,1,0,0,1,1,0,24,31.340568586282807,1.0,1,0.4650452286466966,0.0,1,0,0.99859947,0.0014005303,1631.3405685862829,0.0014005303382873535,1.5405833721160889,1632.881151958399,0.0,3
1,1,0,0,1,1,0,24,215.40890983725217,1.0,2,1.7821071683054306,2.1269777129187504,1,0,0.6890461,0.31095392,2915.4089098372524,0.31095391511917114,342.04930663108826,3257.4582164683407,0.0,3
1,0,0,0,1,1,0,30,8.39841697871205,1.0,2,1.851313434533592,1.3633300281609189,1,0,0.9351175,0.06488252,2708.3984169787122,0.06488251686096191,71.3707685470581,2779.7691855257704,0.0,3
1,0,0,0,1,1,1,30,249.5130881367792,1.0,2,0.8754402522144942,1.002298541581715,0,0,0.2080373,0.7919627,2949.513088136779,0.7919626832008362,871.1589515209198,3820.672039657699,0.0,3
1,1,0,0,1,1,0,32,241.08037796680668,1.0,5,3.824978830624872,4.1000039575190055,0,2,0.00043128993,0.9995687,6241.080377966807,0.9995687007904053,1099.5255708694458,7340.6059488362525,0.0,0
0,1,1,0,1,6,1,30,68.78617060962523,6.0,4,1.5220966434730856,1.6244360306453711,0,1,0.0047843996,0.9952156,4968.7861706096255,5.971293568611145,6568.4229254722595,11537.209096081886,0.0,1
0,0,0,0,1,1,0,25,277.7136524685851,1.0,12,3.4116349557496166,3.3417801704179326,0,2,0.0004211752,0.99957883,13977.713652468585,0.9995788335800171,1099.5367169380188,15077.250369406604,0.0,0
1,1,1,0,1,1,1,28,132.144631872878,1.0,1,3.7154929789970073,3.907798981498432,0,2,0.010536357,0.9894636,1732.144631872878,0.9894636273384094,1088.4099900722504,2820.5546219451285,0.0,0
1,1,1,1,1,6,1,26,73.17954865693335,6.0,7,0.6317305922219072,0.7020948185059079,0,1,0.0035110577,0.9964889,8273.179548656934,5.978933572769165,6576.8269300460815,14850.006478703015,0.0,1
